root,original_path,original_name,normalized_name,proposed_display_name,proposed_safe_slug,candidate_type,confidence,review_status,reason,collision_group,slug_collision
original-ar,/srv/daawah/media/original-ar/أنا والمحراب مع ياسر عمر,أنا والمحراب مع ياسر عمر,أنا والمحراب مع ياسر عمر,أنا والمحراب مع ياسر عمر,أنا-والمحراب,needs_review,medium,exclude,duplicate of source/shawwal entry,,
original-ar,/srv/daawah/media/original-ar/فقه الابتلاءات｜ مع د.توفيق زبادي ｜ قناة دعوة,فقه الابتلاءات مع د.توفيق زبادي,فقه الابتلاءات مع د.توفيق زبادي,فقه الابتلاءات مع د.توفيق زبادي,فقه-الابتلاءات,original-library,medium,ready,,,
original-ar,/srv/daawah/media/original-ar/برنامج أصلح قلبك مع الشيخ حازم صلاح أبو إسماعيل,برنامج أصلح قلبك مع الشيخ حازم صلاح أبو إسماعيل,برنامج أصلح قلبك مع الشيخ حازم صلاح أبو إسماعيل,برنامج أصلح قلبك مع الشيخ حازم صلاح أبو إسماعيل,برنامج-أصلح-قلبك,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/الأمثال في القرآن مع د يوسف عبد الدايم,الأمثال في القرآن مع د يوسف عبد الدايم,الأمثال في القرآن مع د يوسف عبد الدايم,الأمثال في القرآن مع د يوسف عبد الدايم,الأمثال-في-القرآن,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/المحجة البيضاء,المحجة البيضاء,المحجة البيضاء,المحجة البيضاء,المحجة-البيضاء,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/سنن مهجورة مع د أكرم كساب,سنن مهجورة مع د أكرم كساب,سنن مهجورة مع د أكرم كساب,سنن مهجورة مع د أكرم كساب,سنن-مهجورة-مع-أكرم-كساب,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/غرس القرآن الموسم الثاني مع أستاذ عبد العزيز أصلان,غرس القرآن الموسم الثاني مع أستاذ عبد العزيز أصلان,غرس القرآن الموسم الثاني مع أستاذ عبد العزيز أصلان,غرس القرآن الموسم الثاني مع أستاذ عبد العزيز أصلان,غرس-القرآن-الموسم-الثاني,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/ضيوف دعوة مع د يوسف عبدالدايم,ضيوف دعوة مع د يوسف عبدالدايم,ضيوف دعوة مع د يوسف عبدالدايم,ضيوف دعوة مع د يوسف عبدالدايم,ضيوف-دعوة,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/حديث الصيام,حديث الصيام,حديث الصيام,حديث الصيام,حديث-الصيام,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/يسألونك الموسم السادس مع مصباح سيدي و د محمد أيمن الجمال,يسألونك الموسم السادس مع مصباح سيدي و د محمد أيمن الجمال,يسألونك الموسم السادس مع مصباح سيدي و د محمد أيمن الجمال,يسألونك الموسم السادس مع مصباح سيدي و د محمد أيمن الجمال,يسألونك-الموسم-السادس,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/يسألونك (الموسم الثامن) مع د يوسف عبد الدايم,يسألونك (الموسم الثامن) مع د يوسف عبد الدايم,يسألونك (الموسم الثامن) مع د يوسف عبد الدايم,يسألونك (الموسم الثامن) مع د يوسف عبد الدايم,يسألونك-الموسم-الثامن,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/جدد حياتك مع ياسر عمر,جدد حياتك مع ياسر عمر,جدد حياتك مع ياسر عمر,جدد حياتك مع ياسر عمر,جدد-حياتك,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/قضايا إسلامية (موسم 3) مع ا سامح الجبه,قضايا إسلامية (موسم 3) مع ا سامح الجبه,قضايا إسلامية (موسم 3) مع ا سامح الجبه,قضايا إسلامية (موسم 3) مع ا سامح الجبه,قضايا-إسلامية-موسم-3,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/المعاملات الإسلامية مع د رجب أبو مليح,المعاملات الإسلامية مع د رجب أبو مليح,المعاملات الإسلامية مع د رجب أبو مليح,المعاملات الإسلامية مع د رجب أبو مليح,المعاملات-الإسلامية,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/نداء الإيمان مع د عبد الحي يوسف,نداء الإيمان مع د عبد الحي يوسف,نداء الإيمان مع د عبد الحي يوسف,نداء الإيمان مع د عبد الحي يوسف,نداء-الإيمان,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/منسك وعبرة مع د سعد جاد,منسك وعبرة مع د سعد جاد,منسك وعبرة مع د سعد جاد,منسك وعبرة مع د سعد جاد,منسك-وعبرة,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/أهلا رمضان  ｜ مع الشيخ جمال سامي  ｜ قناة دعوة,أهلا رمضان مع الشيخ جمال سامي,أهلا رمضان مع الشيخ جمال سامي,أهلا رمضان مع الشيخ جمال سامي,أهلا-رمضان,original-library,medium,ready,,,
original-ar,/srv/daawah/media/original-ar/كما رأيتموني الموسم الثاني مع عامر وهاب,كما رأيتموني الموسم الثاني مع عامر وهاب,كما رأيتموني الموسم الثاني مع عامر وهاب,كما رأيتموني الموسم الثاني مع عامر وهاب,كما-رأيتموني-الموسم-الثاني,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/قدوتي مع د يوسف عبد الدايم,قدوتي مع د يوسف عبد الدايم,قدوتي مع د يوسف عبد الدايم,قدوتي مع د يوسف عبد الدايم,قدوتي,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/بيوت عامرة مع د مجدي قويدر,بيوت عامرة مع د مجدي قويدر,بيوت عامرة مع د مجدي قويدر,بيوت عامرة مع د مجدي قويدر,بيوت-عامرة,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/فاتبعوني مع أحمد ماضي,فاتبعوني مع أحمد ماضي,فاتبعوني مع أحمد ماضي,فاتبعوني مع أحمد ماضي,فاتبعوني,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/نساء في القرآن مع د مروة إبراهيم,نساء في القرآن مع د مروة إبراهيم,نساء في القرآن مع د مروة إبراهيم,نساء في القرآن مع د مروة إبراهيم,نساء-في-القرآن,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/تأملات مع د عبدالخالق الشريف,تأملات مع د عبدالخالق الشريف,تأملات مع د عبدالخالق الشريف,تأملات مع د عبدالخالق الشريف,تأملات-عبدالخالق-الشريف,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/آباء وأبناء مع إكرام عصام و عماد حجازي,آباء وأبناء مع إكرام عصام و عماد حجازي,آباء وأبناء مع إكرام عصام و عماد حجازي,آباء وأبناء مع إكرام عصام و عماد حجازي,آباء-وأبناء,original-library,high,ready,clean name,,
original-ar,/srv/daawah/media/original-ar/دلني على السوق مع د رجب أبو مليح,دلني على السوق مع د رجب أبو مليح,دلني على السوق مع د رجب أبو مليح,دلني على السوق مع د رجب أبو مليح,دلني-على-السوق,original-library,high,ready,clean name,,
